CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
695,2,1,35,7,0.0,2,0,0,160387.98,0
691,1,1,30,7,116927.89,1,0,0,21198.39,0
669,0,0,38,9,121858.98,1,0,0,130755.34,0
749,0,0,60,6,0.0,1,0,0,17978.68,1
457,0,1,40,10,134320.23,2,0,0,150757.35,0
549,0,0,29,8,0.0,2,1,1,189558.44,0
576,1,1,44,9,119530.52,1,0,0,119056.68,1
559,0,0,46,5,0.0,1,0,0,21006.1,1
539,1,0,34,4,91622.42,1,1,1,136603.42,0
747,0,1,42,4,80214.36,1,0,0,115241.96,1
779,1,1,33,1,158456.76,1,1,1,197000.92,1
769,1,1,43,4,110182.54,2,1,1,87537.32,0
580,2,0,57,0,136820.99,1,1,1,108528.74,0
769,1,1,34,7,115101.5,1,0,0,57841.89,1
517,1,0,59,8,154110.99,2,0,0,101240.08,1
742,0,1,39,8,140004.96,1,1,1,92985.78,0
809,1,1,41,1,79706.25,2,0,0,165675.01,0
785,1,0,36,2,99806.85,1,1,1,36976.52,0
605,2,0,57,2,0.0,3,0,0,66652.75,1
520,2,0,42,6,0.0,2,1,1,34410.55,0
